id;id_local;zona;secao;local;PL;PT;brancos;nulos;abstencoes;total
795;61;270;592;2356;195;83;5;6;110;399
796;61;270;593;2356;187;80;8;9;111;395
797;61;270;594;2356;208;74;5;12;96;395
798;61;270;595;2356;186;72;8;11;119;396
799;61;270;596;2356;195;80;2;14;100;391
800;61;270;597;2356;200;66;4;16;107;393
801;61;270;598;2356;192;63;7;10;121;393
802;61;270;599;2356;249;76;8;11;51;395
803;61;270;600;2356;243;77;5;12;55;392
804;61;270;601;2356;207;86;10;16;70;389
805;61;270;602;2356;255;71;4;8;57;395
806;61;270;603;2356;232;69;9;7;73;390
807;63;270;604;2364;176;89;7;18;92;382
808;63;270;605;2364;170;85;2;15;104;376
809;63;270;606;2364;176;86;5;14;96;377
810;63;270;607;2364;175;82;6;6;109;378
811;63;270;608;2364;173;89;4;12;94;372
812;63;270;609;2364;176;82;5;9;103;375
813;63;270;610;2364;172;91;2;12;96;373
814;63;270;611;2364;162;100;7;6;100;375
815;63;270;612;2364;156;90;5;13;114;378
816;63;270;613;2364;157;80;4;5;127;373
817;63;270;614;2364;155;102;6;11;99;373
818;63;270;615;2364;166;84;4;6;113;373
819;63;270;616;2364;193;96;8;14;65;376
820;63;270;617;2364;195;96;2;14;72;379
821;63;270;618;2364;181;96;11;5;84;377
822;63;270;619;2364;162;113;7;14;81;377
823;96;270;620;2372;146;71;2;7;53;279
824;96;270;621;2372;154;80;5;5;82;326
825;96;270;622;2372;153;93;4;8;86;344
826;101;270;623;2380;168;98;7;11;88;372
827;101;270;624;2380;192;89;8;4;74;367
828;101;270;625;2380;178;95;11;11;71;366
829;101;270;626;2380;139;134;6;12;85;376
830;101;270;627;2380;162;99;1;12;85;359
831;101;270;628;2380;180;108;7;12;61;368
832;101;270;629;2380;150;113;4;11;95;373
833;75;270;630;2399;197;79;8;18;94;396
834;75;270;631;2399;190;88;7;10;93;388
835;75;270;632;2399;204;87;9;11;82;393
836;75;270;633;2399;208;79;8;14;84;393
837;75;270;634;2399;187;95;5;15;90;392
838;75;270;635;2399;198;87;12;18;73;388
839;75;270;636;2399;192;82;6;15;104;399
840;75;270;637;2399;199;93;11;7;79;389
